StopNum,Type,Day,Longitude,Latitude,NumOfPackages
3408,Delivery,Tue,29.1099564,41.0004838,1
3409,Delivery,Tue,29.1096778,41.0298193,1
3410,Delivery,Tue,29.1226168,40.9984807,1
3411,Delivery,Tue,29.1835229,41.003038,1
3412,Delivery,Tue,29.1837223,41.0031503,2
3413,Pickup,Tue,29.4667749,40.7970592,42
3414,Delivery,Tue,29.3149501,40.817177,1
3415,Delivery,Tue,29.2325357,40.8815815,2
3416,Delivery,Tue,29.1319178,40.9430113,1
3417,Delivery,Tue,29.1272699,40.9463196,2
3418,Delivery,Tue,29.2005315,41.0076169,1
3419,Delivery,Tue,29.3149814,40.8171489,1
3420,Delivery,Tue,29.3149546,40.817153,1
3421,Delivery,Tue,29.2009026,40.9147454,13
3422,Delivery,Tue,29.3433428,40.9202117,1
3423,Delivery,Tue,29.4232238,40.7962528,2
3424,Delivery,Tue,29.2202879,40.8857772,1
3425,Pickup,Tue,29.1240111,41.0232051,28
3426,Delivery,Tue,29.3150604,40.817255,1
3427,Delivery,Tue,29.3149246,40.817186,1
3428,Delivery,Tue,29.3149479,40.817177,1
3429,Pickup,Tue,29.2096467,40.8913838,40
3430,Delivery,Tue,29.3149494,40.8171766,1
3431,Delivery,Tue,29.3149501,40.8171777,2
3432,Delivery,Tue,29.3149634,40.8171847,1
3433,Pickup,Tue,29.3929665,40.9042158,51
3434,Pickup,Mon,29.0880528,41.0254786,15
3435,Pickup,Mon,29.4668098,40.797078,11
3436,Pickup,Mon,29.1402235,41.0004317,1
3437,Delivery,Mon,29.5497542,40.8363661,1
3438,Pickup,Mon,29.1794307,40.9983277,50
3439,Pickup,Mon,29.4409878,40.838369,150
3440,Delivery,Mon,29.1310369,41.0040275,1
3441,Pickup,Mon,29.3129539,40.8223766,47
3442,Delivery,Mon,29.4178071,40.8139778,1
3443,Delivery,Mon,29.2166245,40.9010722,1
3444,Delivery,Mon,29.2223872,40.8980276,1
3445,Delivery,Mon,29.2167135,40.9001755,1
3446,Delivery,Mon,29.5692297,40.8450937,1
3447,Delivery,Mon,29.1903261,40.9050503,1
3448,Delivery,Mon,29.3870088,40.8825608,1
3449,Delivery,Mon,29.1230334,40.9521899,2
3450,Delivery,Mon,29.127724,40.9920416,1
3451,Delivery,Mon,29.1235204,40.9775694,1
3452,Delivery,Mon,29.1163946,41.0259306,1
3453,Delivery,Mon,29.2007593,40.9158689,1
3454,Pickup,Mon,29.2217202,40.9843193,2
3455,Pickup,Mon,29.1116125,40.9601621,7
3456,Delivery,Mon,29.1680354,40.9022329,1
3457,Pickup,Mon,29.2648346,40.8970534,4
3458,Pickup,Mon,29.2309773,40.8929782,3
3459,Delivery,Mon,29.1792199,40.9169125,1
3460,Delivery,Mon,29.1968303,40.9104962,4
3461,Pickup,Mon,29.315012,40.8171738,9
